Win,Lose,Name,Rank,Tournament,Divison
4,11,DAIAMAMI,M14,2021 Nagoya basho results - Makuuchi Division,E
8,7,TSURUGISHO,M15,2021 Nagoya basho results - Makuuchi Division,E
7,8,CHIYONOKUNI,M16,2021 Nagoya basho results - Makuuchi Division,E
8,7,ICHIYAMAMOTO,M17,2021 Nagoya basho results - Makuuchi Division,E
0,0,HAKUHO,Y,2021 Aki basho results - Makuuchi Division,E
8,7,SHODAI,O,2021 Aki basho results - Makuuchi Division,E
9,6,MITAKEUMI,S,2021 Aki basho results - Makuuchi Division,E
0,0,ASANOYAMA,S,2021 Aki basho results - Makuuchi Division,E
4,8,TAKAYASU,K,2021 Aki basho results - Makuuchi Division,E
5,8,HOSHORYU,M1,2021 Aki basho results - Makuuchi Division,E
2,3,HOKUTOFUJI,M2,2021 Aki basho results - Makuuchi Division,E
9,6,WAKATAKAKAGE,M3,2021 Aki basho results - Makuuchi Division,E
6,9,TAMAWASHI,M4,2021 Aki basho results - Makuuchi Division,E
5,10,CHIYOSHOMA,M5,2021 Aki basho results - Makuuchi Division,E
7,8,URA,M6,2021 Aki basho results - Makuuchi Division,E
8,7,SHIMANOUMI,M7,2021 Aki basho results - Makuuchi Division,E
10,5,OKINOUMI,M8,2021 Aki basho results - Makuuchi Division,E
7,8,AOIYAMA,M9,2021 Aki basho results - Makuuchi Division,E
7,8,CHIYOTAIRYU,M10,2021 Aki basho results - Makuuchi Division,E
11,4,ENDO,M11,2021 Aki basho results - Makuuchi Division,E
0,0,ISHIURA,M12,2021 Aki basho results - Makuuchi Division,E
7,8,KAGAYAKI,M13,2021 Aki basho results - Makuuchi Division,E
6,9,KAISEI,M14,2021 Aki basho results - Makuuchi Division,E
4,11,ICHIYAMAMOTO,M15,2021 Aki basho results - Makuuchi Division,E
8,7,CHIYOMARU,M16,2021 Aki basho results - Makuuchi Division,E
9,6,CHIYONOKUNI,M17,2021 Aki basho results - Makuuchi Division,E
15,0,TERUNOFUJI,Y,2021 Kyushu basho results - Makuuchi Division,E
9,6,SHODAI,O,2021 Kyushu basho results - Makuuchi Division,E
11,4,MITAKEUMI,S,2021 Kyushu basho results - Makuuchi Division,E
5,10,ICHINOJO,K,2021 Kyushu basho results - Makuuchi Division,E
8,7,DAIEISHO,M1,2021 Kyushu basho results - Makuuchi Division,E
5,10,ŌNOSHO,M2,2021 Kyushu basho results - Makuuchi Division,E
7,8,OKINOUMI,M3,2021 Kyushu basho results - Makuuchi Division,E
5,10,TAKARAFUJI,M4,2021 Kyushu basho results - Makuuchi Division,E
6,9,TAKAYASU,M5,2021 Kyushu basho results - Makuuchi Division,E
