Win,Lose,Name,Rank,Tournament,Division
10,5,NISHIKIFUJI,M17,2022 Nagoya basho results - Makuuchi Division,E
5,5,TERUNOFUJI,Y,2022 Aki basho results - Makuuchi Division,E
10,5,TAKAKEISHO,O,2022 Aki basho results - Makuuchi Division,E
11,4,WAKATAKAKAGE,S,2022 Aki basho results - Makuuchi Division,E
7,8,DAIEISHO,S,2022 Aki basho results - Makuuchi Division,E
0,0,ABI,K,2022 Aki basho results - Makuuchi Division,E
10,5,TOBIZARU,M1,2022 Aki basho results - Makuuchi Division,E
8,7,KOTONOWAKA,M2,2022 Aki basho results - Makuuchi Division,E
13,2,TAMAWASHI,M3,2022 Aki basho results - Makuuchi Division,E
6,9,NISHIKIGI,M4,2022 Aki basho results - Makuuchi Division,E
5,10,TAKARAFUJI,M5,2022 Aki basho results - Makuuchi Division,E
10,5,WAKAMOTOHARU,M6,2022 Aki basho results - Makuuchi Division,E
6,9,AOIYAMA,M7,2022 Aki basho results - Makuuchi Division,E
7,8,TOCHINOSHIN,M8,2022 Aki basho results - Makuuchi Division,E
8,7,MYOGIRYŪ,M9,2022 Aki basho results - Makuuchi Division,E
10,5,NISHIKIFUJI,M10,2022 Aki basho results - Makuuchi Division,E
7,8,KOTOSHOHO,M11,2022 Aki basho results - Makuuchi Division,E
6,9,OKINOUMI,M12,2022 Aki basho results - Makuuchi Division,E
6,9,ICHIYAMAMOTO,M13,2022 Aki basho results - Makuuchi Division,E
9,6,CHIYOSHOMA,M14,2022 Aki basho results - Makuuchi Division,E
6,9,TERUTSUYOSHI,M15,2022 Aki basho results - Makuuchi Division,E
5,10,MITORYŪ,M16,2022 Aki basho results - Makuuchi Division,E
0,0,TERUNOFUJI,Y,2022 Kyushu basho results - Makuuchi Division,E
12,3,TAKAKEISHO,O,2022 Kyushu basho results - Makuuchi Division,E
8,7,WAKATAKAKAGE,S,2022 Kyushu basho results - Makuuchi Division,E
6,9,TAMAWASHI,K,2022 Kyushu basho results - Makuuchi Division,E
7,8,TOBIZARU,K,2022 Kyushu basho results - Makuuchi Division,E
12,3,TAKAYASU,M1,2022 Kyushu basho results - Makuuchi Division,E
9,6,MEISEI,M2,2022 Kyushu basho results - Makuuchi Division,E
4,11,URA,M3,2022 Kyushu basho results - Makuuchi Division,E
10,5,WAKAMOTOHARU,M4,2022 Kyushu basho results - Makuuchi Division,E
7,8,HOKUTOFUJI,M5,2022 Kyushu basho results - Makuuchi Division,E
8,7,NISHIKIGI,M6,2022 Kyushu basho results - Makuuchi Division,E
6,9,ENDO,M7,2022 Kyushu basho results - Makuuchi Division,E
3,12,TAKARAFUJI,M8,2022 Kyushu basho results - Makuuchi Division,E
7,8,TAKANOSHO,M9,2022 Kyushu basho results - Makuuchi Division,E
7,8,AOIYAMA,M10,2022 Kyushu basho results - Makuuchi Division,E
9,6,ONOSHO,M11,2022 Kyushu basho results - Makuuchi Division,E
7,8,KOTOEKO,M12,2022 Kyushu basho results - Makuuchi Division,E
8,7,OKINOUMI,M13,2022 Kyushu basho results - Makuuchi Division,E
7,8,ICHIYAMAMOTO,M14,2022 Kyushu basho results - Makuuchi Division,E
9,6,KAGAYAKI,M15,2022 Kyushu basho results - Makuuchi Division,E
0,15,TERUTSUYOSHI,M16,2022 Kyushu basho results - Makuuchi Division,E
6,9,SHODAI,O,2022 Hatsu basho results - Makuuchi Division,W
