Name W,Result W,Technique,Name L,Result L
ENDO,win,yorikiri,ATAMIFUJI,lost
KAGAYAKI,win,hikiotoshi,MYOGIRYU,lost
RYUDEN,win,okuridashi,ABI,lost
URA,win,uwatedashinage,NISHIKIGI,lost
MEISEI,win,hikkake,HOKUTOFUJI,lost
NISHIKIFUJI,win,oshidashi,ICHINOJO,lost
TAMAWASHI,win,oshidashi,WAKAMOTOHARU,lost
KOTONOWAKA,win,tsukiotoshi,DAIEISHO,lost
TAKAYASU,win,hatakikomi,TOBIZARU,lost
MIDORIFUJI,win,yorikiri,MITAKEUMI,lost
WAKATAKAKAGE,win,oshidashi,SADANOUMI,lost
TAKAKEISHO,win,oshidashi,KIRIBAYAMA,lost
HOSHORYU,win,yoritaoshi,SHODAI,lost
ICHIYAMAMOTO,win,oshidashi,OKINOUMI,lost
KOTOEKO,win,abisetaoshi,ATAMIFUJI,lost
KAGAYAKI,win,tsukiotoshi,KOTOSHOHO,lost
OHO,win,okuridashi,ONOSHO,lost
HIRADOUMI,win,oshidashi,AOIYAMA,lost
AZUMARYU,win,yorikiri,TAKARAFUJI,lost
MYOGIRYU,win,yoritaoshi,CHIYOSHOMA,lost
ENDO,win,yoritaoshi,TERUTSUYOSHI,lost
RYUDEN,win,oshidashi,TAKANOSHO,lost
NISHIKIGI,win,yorikiri,TOCHINOSHIN,lost
NISHIKIFUJI,win,tsukiotoshi,ABI,lost
HOKUTOFUJI,win,oshidashi,ICHINOJO,lost
MEISEI,win,yorikiri,TAKAYASU,lost
KIRIBAYAMA,win,uwatenage,KOTONOWAKA,lost
TAMAWASHI,win,gasshohineri,URA,lost
HOSHORYU,win,uwatenage,SADANOUMI,lost
MIDORIFUJI,win,katasukashi,WAKATAKAKAGE,lost
WAKAMOTOHARU,win,yorikiri,MITAKEUMI,lost
DAIEISHO,win,oshidashi,SHODAI,lost
TOBIZARU,win,oshidashi,TAKAKEISHO,lost
OKINOUMI,win,katasukashi,YUTAKAYAMA,lost
OHO,win,oshidashi,ATAMIFUJI,lost
HIRADOUMI,win,yorikiri,KOTOEKO,lost
KAGAYAKI,win,fusen,CHIYOTAIRYU,lost
ONOSHO,win,yoritaoshi,TERUTSUYOSHI,lost
KOTOSHOHO,win,oshitaoshi,ICHIYAMAMOTO,lost
AZUMARYU,win,uwatenage,CHIYOSHOMA,lost
AOIYAMA,win,tsukidashi,TAKARAFUJI,lost
ABI,win,oshidashi,ENDO,lost
RYUDEN,win,yorikiri,TOCHINOSHIN,lost
HOKUTOFUJI,win,oshidashi,MYOGIRYU,lost
NISHIKIFUJI,win,tsukiotoshi,TAKANOSHO,lost
MIDORIFUJI,win,okuridashi,NISHIKIGI,lost
URA,win,oshidashi,ICHINOJO,lost
TAKAYASU,win,sukuinage,KIRIBAYAMA,lost
MEISEI,win,hikiotoshi,TAMAWASHI,lost
WAKATAKAKAGE,win,yorikiri,DAIEISHO,lost
KOTONOWAKA,win,katasukashi,MITAKEUMI,lost
HOSHORYU,win,uwatenage,TOBIZARU,lost
TAKAKEISHO,win,tsukidashi,WAKAMOTOHARU,lost
SADANOUMI,win,uwatedashinage,SHODAI,lost
AZUMARYU,win,yorikiri,ATAMIFUJI,lost
ICHIYAMAMOTO,win,uwatehineri,TERUTSUYOSHI,lost
OHO,win,hatakikomi,HIDENOUMI,lost
HIRADOUMI,win,yorikiri,OKINOUMI,lost
KAGAYAKI,win,hikiotoshi,ONOSHO,lost
CHIYOSHOMA,win,uwatenage,KOTOEKO,lost
AOIYAMA,win,oshidashi,CHIYOTAIRYU,lost
KOTOSHOHO,win,hatakikomi,TAKANOSHO,lost
ABI,win,tsukidashi,TAKARAFUJI,lost
MYOGIRYU,win,hatakikomi,NISHIKIGI,lost
